block size,     performance/Gflops,     time/s
3,      1.373985,       3.880196
6,      1.596748,       3.338870
9,      1.693430,       3.148246
12,     1.748441,       3.049192
15,     1.813186,       2.940313
18,     1.870104,       2.850822
21,     1.924502,       2.770241
24,     1.922232,       2.773512
27,     1.945300,       2.740622
30,     4.362482,       1.222087
33,     3.819316,       1.395887
36,     3.574084,       1.491664
39,     3.409125,       1.563842
42,     3.268238,       1.631256
45,     3.094075,       1.723078
48,     3.082310,       1.729655
51,     2.946714,       1.809247
54,     2.849208,       1.871163
57,     2.789534,       1.911191
60,     4.659197,       1.144260
63,     4.272090,       1.247945
66,     4.009030,       1.329831
69,     3.571104,       1.492909
72,     3.627932,       1.469524
75,     3.578453,       1.489843
78,     3.519626,       1.514744
81,     3.408406,       1.564172
84,     3.427578,       1.555423
87,     3.316607,       1.607466
90,     4.827694,       1.104323
93,     4.467307,       1.193411
96,     4.367786,       1.220603
99,     4.296894,       1.240741
102,    4.149646,       1.284768
105,    4.065617,       1.311322
108,    3.922829,       1.359053
111,    3.910150,       1.363460
114,    3.793555,       1.405366
117,    3.739329,       1.425746
120,    4.984408,       1.069602
123,    4.604984,       1.157731
126,    4.580411,       1.163942
129,    4.422089,       1.205614
132,    4.255928,       1.252684
135,    4.235109,       1.258842
138,    4.196294,       1.270486
141,    3.957152,       1.347265
144,    3.962791,       1.345348
147,    3.900940,       1.366679
150,    4.746777,       1.123148
153,    4.853368,       1.098481
156,    4.616684,       1.154797
159,    4.496128,       1.185761
162,    4.403626,       1.210669
165,    4.227834,       1.261008
168,    4.224608,       1.261971
171,    4.107816,       1.297851
174,    3.841749,       1.387736
177,    3.870347,       1.377482
180,    4.700208,       1.134276
183,    4.638346,       1.149404
186,    4.480055,       1.190015
189,    4.405332,       1.210200
192,    4.362336,       1.222128
195,    4.171971,       1.277893
198,    4.196829,       1.270324
201,    3.890235,       1.370440
204,    3.833983,       1.390547
207,    3.558452,       1.498217
210,    4.188534,       1.272840
213,    3.585620,       1.486865
216,    3.706917,       1.438212
219,    3.984369,       1.338062
222,    3.426734,       1.555806
225,    3.906136,       1.364861
228,    3.855554,       1.382767
231,    3.696354,       1.442322
234,    3.692931,       1.443659
237,    3.627443,       1.469722
240,    4.259182,       1.251727
243,    4.224541,       1.261991
246,    4.191698,       1.271879
249,    4.238850,       1.257731
252,    4.244425,       1.256079
255,    3.948907,       1.350078
258,    3.857351,       1.382123
261,    3.557630,       1.498563
264,    3.671120,       1.452236
267,    3.678179,       1.449449
270,    4.063863,       1.311888
273,    4.032943,       1.321946
276,    4.120777,       1.293769
279,    3.987260,       1.337092
282,    4.151330,       1.284247
285,    4.152665,       1.283834
288,    4.203069,       1.268438
291,    3.980873,       1.339237
294,    3.688501,       1.445393
297,    3.678479,       1.449331
300,    4.105930,       1.298447
